name	domain	form_order	meaning_function
PrepositionalPhrase	adposition	marker-complement	relation-ground
PostpositionalPhrase	adposition	complement-marker	relation-ground
SVOTransitiveClause	clause	subject-predicate-object	agent-event-patient
OVSTransitiveClause	clause	object-predicate-subject	agent-event-patient
PrefixNegation	negation	negator-predicate	negative-scope
SuffixNegation	negation	predicate-negator	negative-scope
InitialPolarQuestion	interrogative	particle-clause	polar-question
SerialPredicate	complex-predicate	first-second	composed-event
